[runlim] version:		1.10
[runlim] time limit:		1800 seconds
[runlim] real time limit:	1800 seconds
[runlim] space limit:		60000 MB
[runlim] argv[0]:		/home/truongxuanhieu/anti-bandwidth-scl-extend/build/abw_enc
[runlim] argv[1]:		/home/truongxuanhieu/anti-bandwidth-scl-extend/build/BenchmarkSets/Benchmarks_Standard/S-sherman4.mtx.rnd
[runlim] argv[2]:		--ladder
[runlim] argv[3]:		-symmetry-break
[runlim] argv[4]:		h
[runlim] start:			Tue Nov 26 12:07:34 2024
[runlim] main pid:		39469
[runlim] log captured:
c LadderEncoder 1.0.
c Symetry breaking in the highest degree node.
c Solving strategy: from LB to UB.
c LB-w = 256 (LB in Sinnl - A note on computational approaches for the antibandwidth problem).
c UB-w = 272 (UB in Sinnl - A note on computational approaches for the antibandwidth problem).
c Antibandwidth problem with w = 256 ( S-sherman4.mtx.rnd ):
c Initializing CaDiCaL (version 1.2.1).
c	Configuring CaDiCaL as --sat (1).
c Initializing a Ladder encoder with n = 546.
c Encoding starts with w = 256:
c	Encode symmetry breaking with option: h.
c	Labels and Vertices aux var: 49140
c	Labels and Vertices constraints:  670488
c	Obj k aux var: 592956
c	Obj k constraints: 2625009
c	Obj k glue staircase constraints: 863613
c	Encoding duration: 1s
c	Number of clauses: 3295770
c	Number of irredundant clauses: 3294161
c	Number of variables: 940212
c SAT Solving starts:
[runlim] sample:		10.0 time, 10.5 real, 684.5 MB
[runlim] sample:		20.0 time, 20.5 real, 679.9 MB
[runlim] sample:		30.0 time, 30.5 real, 722.8 MB
[runlim] sample:		40.0 time, 40.5 real, 724.2 MB
[runlim] sample:		50.0 time, 50.5 real, 731.1 MB
[runlim] sample:		60.0 time, 60.5 real, 650.8 MB
[runlim] sample:		70.0 time, 70.5 real, 732.9 MB
[runlim] sample:		80.0 time, 80.5 real, 782.0 MB
[runlim] sample:		90.0 time, 90.5 real, 782.6 MB
[runlim] sample:		100.0 time, 100.5 real, 782.6 MB
[runlim] sample:		110.0 time, 110.5 real, 784.2 MB
[runlim] sample:		120.0 time, 120.5 real, 782.7 MB
[runlim] sample:		130.0 time, 130.5 real, 735.5 MB
[runlim] sample:		140.0 time, 140.5 real, 736.1 MB
[runlim] sample:		150.0 time, 150.5 real, 814.9 MB
[runlim] sample:		160.0 time, 160.5 real, 819.3 MB
[runlim] sample:		170.0 time, 170.5 real, 787.5 MB
